task_name,gold_standard_file,coverage,model_name,model_configuration,accuracy
Classification,kgrc_qt900,1.0,NB,,0.877777777777778
Classification,kgrc_qt900,1.0,NB,,0.877777777777778
Classification,kgrc_qt900,1.0,NB,,0.876666666666667
Classification,kgrc_qt900,1.0,NB,,0.882222222222222
Classification,kgrc_qt900,1.0,NB,,0.874444444444445
Classification,kgrc_qt900,1.0,NB,,0.878888888888889
Classification,kgrc_qt900,1.0,NB,,0.873333333333333
Classification,kgrc_qt900,1.0,NB,,0.878888888888889
Classification,kgrc_qt900,1.0,NB,,0.88
Classification,kgrc_qt900,1.0,NB,,0.886666666666667
Classification,kgrc_qt900,1.0,KNN,K=3,0.893333333333333
Classification,kgrc_qt900,1.0,KNN,K=3,0.887777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.892222222222222
Classification,kgrc_qt900,1.0,KNN,K=3,0.887777777777778
Classification,kgrc_qt900,1.0,KNN,K=3,0.88
Classification,kgrc_qt900,1.0,KNN,K=3,0.896666666666667
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,KNN,K=3,0.89
Classification,kgrc_qt900,1.0,KNN,K=3,0.888888888888889
Classification,kgrc_qt900,1.0,C45,,0.681111111111111
Classification,kgrc_qt900,1.0,C45,,0.667777777777778
Classification,kgrc_qt900,1.0,C45,,0.651111111111111
Classification,kgrc_qt900,1.0,C45,,0.665555555555556
Classification,kgrc_qt900,1.0,C45,,0.671111111111111
Classification,kgrc_qt900,1.0,C45,,0.687777777777778
Classification,kgrc_qt900,1.0,C45,,0.666666666666667
Classification,kgrc_qt900,1.0,C45,,0.7
Classification,kgrc_qt900,1.0,C45,,0.683333333333333
Classification,kgrc_qt900,1.0,C45,,0.674444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.765555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.765555555555556
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.88
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.886666666666666
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.752222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.752222222222222
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.876666666666667
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.764444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.764444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.883333333333333
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.882222222222222
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.773333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.773333333333333
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.877777777777778
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.983333333333333
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.761111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.761111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.88
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=100,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=1000,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.764444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.764444444444444
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.885555555555556
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.98
Classification,kgrc_qt900,1.0,SVM,C=100,0.98
Classification,kgrc_qt900,1.0,SVM,C=1000,0.98
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.766666666666667
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.884444444444444
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=100,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=1000,0.981111111111111
Classification,kgrc_qt900,1.0,SVM,C=0.001,0.768888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.01,0.768888888888889
Classification,kgrc_qt900,1.0,SVM,C=0.1,0.88
Classification,kgrc_qt900,1.0,SVM,C=1.0,0.978888888888889
Classification,kgrc_qt900,1.0,SVM,C=10.0,0.981111111111111
